SUPL,PLANT,S.DOCK,COMP,PLANT,DOCK,Production Routing,PART #,T/C FROM(UNL),T/C TO (UNL),PART DESC,Life Cycle Code,Team Member,Model Name,ORD Method,BvsC REF,KBN,QTY /CONT,V.SHARE FLG[SYS L/O DATE BASIS],V.SHARE VALUE,PC DELIV,PC SAFETY,LS DELIV,LS SAFTY,Safety(PCS),Packaging Type,Part PCS Weight(g),PACK QTY/CONT,Latest Physical Inventory DTE & Time,Create User,Create Date Time,Update User,Update Date Time,V.SHARE GROUP
5789,1,   ,807D,4,43,      ,90333T000500,20260801,20260831,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,33,28,14405,TP331             ,1,14400,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000500,20260901,99991231,PLUG  PLATE,0,ASSY IMV 4 5,408W 520W,1,0,4364,14400, ,,0,0,38,30,14406,TP331             ,1,14400,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260501,20260531,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,38,42,58,TP331             ,1,3200,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260601,20260604,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,38,42,130,TP331             ,1,3200,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260605,20260630,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,38,42,18,TP331             ,1,3200,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260701,20260731,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,37,42,18,TP331             ,1,3200,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260801,20260831,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,33,28,2,TP331             ,1,3200,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5789,1,   ,807D,4,43,      ,90333T000600,20260901,99991231,PLUG  PLATE,0,ASSY IMV 4 5,579W,1,0,4423,3200, ,,0,0,38,30,1,TP331             ,1,3200,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522180K01000,20260501,20260531,HOLDER  CAB MOUNTINGCUSHION  NO. 1,0,ASSY IMV4   5,520W,1,0,4442,100, ,,0,22,19,42,8,TP331             ,91,100,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522180K01000,20260601,20260604,HOLDER  CAB MOUNTINGCUSHION  NO. 1,0,ASSY IMV4   5,520W,1,0,4442,100, ,,0,22,19,42,17,TP331             ,91,100,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522180K01000,20260605,20260731,HOLDER  CAB MOUNTINGCUSHION  NO. 1,0,ASSY IMV4   5,520W,1,0,4442,100, ,,0,22,19,42,2,TP331             ,91,100,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5875,1,   ,807D,4,43,      ,522180K01000,20260801,20260831,HOLDER  CAB MOUNTINGCUSHION  NO. 1,0,ASSY IMV4   5,520W,1,0,4442,100, ,,0,22,19,28,0,TP331             ,91,100,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
